|||||
1|||||
2|1º Período||||
3|Disciplina|Horário|Professor|Sala|
4|AD431 - ADMINISTRAÇÃO CONTEMPORÂNEA|quarta, 17 - 18:40 / sexta, 18:50 - 20:40|Tatiane Andrade|D005|
5|MA026 - CALCULO DIFERENCIAL E INTEGRAL 1|terça, 17 - 18:40 / quinta, 18:50 - 20:30|Pedro Manhães|D005|
6|IF966 - INTRODUÇÃO AOS SISTEMAS DE INFORMAÇÃO|segunda, 18:50 - 20:30 / quinta, 17 - 18:30|Leandro Almeida|D005|
7|IF967 - MATEMÁTICA DISCRETA PARA COMPUTAÇÃO|terça, 18:50 - 20:30 / sexta, 17 - 18:40|Gustavo Carvalho|D005|
8|IF968 - PROGRAMAÇÃO 1|segunda, 17 - 18:40 / quarta, 18:50 - 20:30|Fernando Neto|D005|
9|||||
10|2º Período||||
11|Disciplina|Horário|Professor|Sala|
12|IF969 - ALGORITMOS E ESTRUTURAS DE DADOS|segunda, 17 - 18:40 / quarta, 18:50 - 20:30|Renato Vimieiro|D002|
13|AD291 - ANÁLISE DAS ORGANIZACOES|terça, 17 - 18:40 / quinta, 18:50 - 20:30|Carolina Lindenberg|D002|
14|IF971 - ESTATÍSTICA E PROB. PARA COMPUTAÇÃO|segunda, 18:50 - 20:30 / quinta, 17 - 18:30|Pedro Manhães|D002|
15|LE732 - INGLÊS PARA COMPUTAÇÃO|quarta, 17 - 18:40 / sexta, 18:50 - 20:30|Fabiana Thompson|D002|
16|IF972 - LÓGICA PARA COMPUTAÇÃO|terça, 18:50 - 20:30 / sexta, 17 - 18:40|Sérgio Queiroz|D002|
17|||||
18|3º Período||||
19|Disciplina|Horário|Professor|Sala|
20|AD193 - COMPORTAMENTO ORGANIZACIONAL|quarta, 18:50 - 20:30 / sexta, 17 - 18:30|Vera Lúcia|E123|
21|CT503 - CONTABILIDADE DE CUSTOS E GERENCIAL|quarta, 17 - 18:40 / sexta, 18:50 - 20:30|José Maria da Silva|E123|
22|IF973 - FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO|terça, 17 - 18:40 / quinta, 18:50 - 20:30|Hermano Perrelli|E123|
23|IF974 - ORG. DE COMP. E SISTEMAS OPERACIONAIS|segunda, 17 - 18:40 / segunda, 18:50 - 20:30|Sérgio Cavalcante|E123|
24|IF975 - REDES DE COMPUTADORES|terça, 18:50 - 20:30 / quinta, 17 - 18:40|Kelvin Lopes Dias|E123|
25|||||
26|4º Período||||
27|Disciplina|Horário|Professor|Sala|
28|IF976 - BANCO DE DADOS|segunda, 17 - 18:40 / quarta, 18:50 - 20:30|Bernadette Loscio|E124|
29|IF977 - ENGENHARIA DE SOFTWARE|segunda, 18:50 - 20:30 / quarta, 17 - 18:40|Vinícius Garcia|E124|
30|IF978 - GESTÃO DE PROCESSOS DE NEGÓCIOS|terça, 18:50 - 20:30/ quinta, 17:00 - 18:40|Carla Taciana|E124|
31|IF979 - PLANEJAMENTO E GERENCIAMENTO DE PROJETOS|sexta, 17 - 18:40/ sexta 18:50 - 20:30|Alexandre Vasconcelos|E124|
32|IF980 - SISTEMA DE GESTÃO EMPRESARIAL|terça, 17 - 18:40/ quinta, 18:50 - 20:30|Simone Santos|E423|
33|||||
34|5º Período||||
35|Disciplina|Horário|Professor|Sala|
36|IF982 - GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO|terça, 18:50 - 20:30/ quinta, 17:00 - 18:40|Hermano Perrelli|E122|
37|CO691 - COMUNICAÇÃO TÉCNICA E CIENTÍFICA|segunda, 17 - 18:40 / quinta, 18:50 - 20:30|Liliane Salgado|E122|
38|IF983 - SISTEMA DE APOIO À DECISÃO|segunda, 18:50 - 20:30 / terça, 17 - 18:40|Robson Fidalgo|E122|
39|IF992 - PROGRAMAÇÃO 2 (Eletiva)|quarta, 18:50 - 20:30 / sexta 17:00 - 18:40|Henrique Rebêlo|E122|
40|EC453 - ECONOMIA DAS EMPRESAS (Eletiva)|quarta 17:00 - 18:40 / sexta 18:50 - 20:30|José Carlos Cavalcanti|E122|
41|||||
42|||||
43|6º Período||||
