|||||
1|Disciplina|Docente|Horário 1|Horário 2|Local
2|IF790 Projeto de Monitoria 1|Valéria Times|qua 19-20:30||A014
3|IF788 Iniciação Científica 1|Teresa Ludermir|ter, 17-20:30||A014
4|IF738 Redes de Computadores|Djamel Sadok|seg, 8-10|qua, 10-12|E124
5|IF775 Tópicos Avançados em Algoritmos|Katia Guimarães|seg, 15-17|sex, 13-15|E113
6|IF703 Agentes Autônomos|Patrícia Tedesco/Ricardo Prudêncio|seg, 13-15|qua, 15-17|E123
7|IF703 AGENTES AUTONOMOS|Paulo Salgado|ter, 10-12|qui 8-10|E113
8|IF699 Aprendizagem de Máquina|George Darmiton|qua, 10-12|sex, 8-10|E112
9|IF783 Gestão de Negócios (equivalente a AD783)|Carina Alves|qua, 10-12|sex, 8-10|E113
10|IF716 Especificação de Requisitos e Validação de Sistemas|Jaelson Castro|qua, 15-17|sex, 13-15|E122
11|IF750 COMPUTACAO GRAFICA (com IN1092)|Silvio Melo|ter, 15-17|qui, 13-15|D224
12|IF777 TOP.AVANC. MATEMAT. COMPUT. (com IN1087)|Ricardo Martins|ter, 10-12|qui 8-10|E121
13|IF763 ALGEBRA LINEAR AVANC. COMPUTACAO (com IN1087 e MA533 p/ EC)|Silvio Melo|ter, 13-15|qui, 15-17|D224
14|IF747 Tópicos Avançados em Redes de Computadores (com IN1055) -Redes Ad Hoc e de Sensores|Renato Mariz|seg, 13-15|qua 15-17|D218
15|IF728 Engenharia de Sistemas Embutidos|Sérgio Cavalcante|seg, 13-15|seg, 15-17|Lab de Hardware
16|IF768 TEORIA DE GRAFOS|Sóstenes Lins|qua 13-15|sex 15-17|E124
17|IF698 - SEMIN. GERENC. DADOS E INFORMACAO|Ruy Guerra|qua 12-14||E122
18|IF778 Semin. Informática Teórica|Ruy Guerra|seg 12-14||E122
19|ES268 Criptografia (com IF771 e IN1113)|Ruy Guerra|seg 10-12|qua 8-10|E122
20|MA533 ALGEBRA LINEAR AVANC.P/COMPUTACAO|Silvio Melo|ter, 13-15|qui, 15-17|D224
21|IF856 TOP.AVANC.PROCESSAMENTO DE SINAIS (com IN1147) - Introd Proc Estocásticos|Divanilson|seg, 15-17|qua, 13-15|E121
22|ES288 Tópicos Especiais em Comunicações 1 – Antenas|Odilon Maroja|ter, 8-10|qui, 10-12|E121
23|ES265 PROCESSAMENTO DIGITAL DE SINAIS|Carlos Alexandre|ter, 8-10|qui, 10-12|E123/E124
24|IF845 Modelagem e Avaliação de Sistemas (com IN1077)|Paulo Maciel|ter, 8-10|qui, 10-12|D218
25|ES290 COMUNICACOES MOVEIS|Daniel Cunha|seg, 10-12|qua, 8-10|E121
26|IF826 Top.Avanc.Sist.Intelig.Robotica|Hansenclever Bassani|ter, 15-17|qui, 13-15|E123
